Genetiske sykdommer;Sykdommer som kommer av avvik i genene. Proteiner kan f.eks ikke bli laget riktig eller ikke laget i det hele tatt.
Genterapi;Metoder som endrer DNA, inaktiverer DNA eller tilfører friskt DNA til en pasient. Fremtiden for behandling av mange genetiske tilstander.
Viral vektor;Uskadeliggjort virus som brukes til å overføre gener til celler.
Stamceller;Celler som ikke har spesialisert seg og som sørger for nye, ferske celler.
Stamcelletransplantasjon;Friske stamceller settes inn i en pasients beinmarg enten fra en donor eller fra pasientens egne stamceller. Det forskes på bruk av genredigering av pasientens egne stamceller for å kurere alvorlige sykdommer.
Naturlig kloning;Naturlige genetiske kopier. F.eks avleggere av planter, tvillinger, celledeling etc.
Kunstig kloning;Kloning av DNA, celler eller organismer ved bruk av teknologi.
Reproduktiv kloning;Kloning av en hel organisme. Kjerneoverføring eller embryosplitting er eksempler på dette.
Kjerneoverføring;Cellekjernen fra en voksen celle settes inn i en kjerneløs eggcelle fra en donor. Embryo settes inn i fostermor. Barnet blir en klone.
Embryosplitting;Splitting av et embryo til flere kopier. Tvinger frem tvillinger, på en måte. Brukes i forskning.
Terapeutisk kloning;Kloning av celler. Kan potensielt brukes til medisinsk behandling ved å skape nye celler til en pasient.
Molekylær kloning;Kloning av DNA. Gjøres f.eks med PCR-maskiner.
PCR-maskiner;Maskiner som bruker en kjemisk reaksjon for å kopiere opp litt DNA til masse DNA som en kopimaskin. Brukes for testing av DNA.
