DNA;Et kjemisk stoff som inneholder genetisk informasjon.
Kromosomer;Sammenpakket DNA. Brukes noen ganger synonymt med DNA.
Eukaryote celler;Celler som har det meste av sitt DNA i cellekjernen.
Prokaryote celler;Celler uten cellekjerne.
Plasmid;Ringformet DNA-molekyl som er vanlig i bakterier. Mye brukt i genteknologi.
Gen;En del av DNA som er oppskriften for et protein, blant annet.
Nitrogenbaser;Basene adenin, tymin, cytosin og guanin danner baseparene A-T og C-G i DNA.
DNA-replikasjon;Når DNA klones til to identiske kopier, for eksempel før celledeling.
Mitose;Prosessen hvor cellen deler seg opp og blir til to identiske kopier. Celledeling.
Genom;En betegnelse for alt DNA i en organisme.
Protein;Molekyler som består av aminosyrer på rekke og rad. Byggesteiner, verktøy og signaler i kroppen.
Kodon (triplett);En rekkefølge på tre baser som tilsvarer en aminosyre eller et STOPP-signal i proteinsyntesen.
mRNA;Et enkelttrådet molekyl som er en kopi av en side av DNA, men hvor tymin erstattes med uracil.
Ribosomer;Strukturer i cellen hvor mRNA fester seg og proteiner dannes.
Mutasjon;En endring i DNA-sekvensen. Kan skape endring i organismen.
